Team,RoundOrder,Date,Year,Total Points,Cumulative Points
Adelaide,29,30/9/2017,2017,8.12,401.13
Brisbane Lions,1,18/3/2023,2023,11.6,11.6
Brisbane Lions,1,19/3/2022,2022,11.14,11.14
Brisbane Lions,1,20/3/2021,2021,14.1,14.1
Brisbane Lions,1,22/3/2014,2014,13.13,13.13
Brisbane Lions,1,22/3/2020,2020,9.8,9.8
Brisbane Lions,1,23/3/2019,2019,15.12,15.12
Brisbane Lions,1,24/3/2018,2018,12.1,12.1
Brisbane Lions,1,25/3/2017,2017,15.8,15.8
Brisbane Lions,1,27/3/2016,2016,15.12,15.12
Brisbane Lions,1,30/3/2013,2013,7.17,7.17
Brisbane Lions,1,31/3/2012,2012,17.17,17.17
Brisbane Lions,1,4/4/2015,2015,11.8,11.8
Brisbane Lions,2,1/4/2017,2017,12.12,27.92
Brisbane Lions,2,12/4/2015,2015,7.9,19.700000000000003
Brisbane Lions,2,13/6/2020,2020,12.9,22.700000000000003
Brisbane Lions,2,2/4/2016,2016,11.17,26.29
Brisbane Lions,2,24/3/2023,2023,14.9,26.5
Brisbane Lions,2,26/3/2021,2021,11.14,25.240000000000002
Brisbane Lions,2,26/3/2022,2022,15.7,26.84
Brisbane Lions,2,30/3/2014,2014,10.8,23.93
Brisbane Lions,2,31/3/2018,2018,10.14,22.240000000000002
Brisbane Lions,2,31/3/2019,2019,16.11,31.229999999999997
Brisbane Lions,2,5/4/2012,2012,9.9,27.07
Brisbane Lions,2,6/4/2013,2013,10.17,17.34
Brisbane Lions,3,1/4/2021,2021,11.7,36.94
Brisbane Lions,3,10/4/2016,2016,7.14,33.43
Brisbane Lions,3,13/4/2013,2013,13.16,30.5
Brisbane Lions,3,14/4/2012,2012,5.5,32.57
Brisbane Lions,3,18/4/2015,2015,8.1,27.8
Brisbane Lions,3,2/4/2022,2022,23.18,50.019999999999996
Brisbane Lions,3,20/6/2020,2020,10.14,32.84
Brisbane Lions,3,30/3/2023,2023,7.11,33.61
Brisbane Lions,3,5/4/2014,2014,9.7,33.63
Brisbane Lions,3,6/4/2019,2019,16.11,47.339999999999996
Brisbane Lions,3,7/4/2018,2018,14.8,37.04
Brisbane Lions,3,9/4/2017,2017,11.1,39.019999999999996
Brisbane Lions,4,10/4/2021,2021,8.6,45.54
Brisbane Lions,4,12/4/2014,2014,7.4,41.03
Brisbane Lions,4,13/4/2019,2019,9.11,56.449999999999996
Brisbane Lions,4,14/4/2018,2018,2.5,39.54
Brisbane Lions,4,16/4/2016,2016,14.23,47.66
Brisbane Lions,4,16/4/2017,2017,10.7,49.72
Brisbane Lions,4,21/4/2012,2012,17.9,50.47
Brisbane Lions,4,21/4/2013,2013,9.8,40.3
Brisbane Lions,4,26/4/2015,2015,9.11,36.91
Brisbane Lions,4,28/6/2020,2020,10.23,43.07
Brisbane Lions,4,6/4/2023,2023,18.8,52.41
