Team,Round,Date,Year,Total Points,RoundOrder
Port Adelaide,R22,19/8/2017,2017,14.12,22
Richmond,R22,20/8/2017,2017,25.5,22
St Kilda,R22,20/8/2017,2017,18.19,22
Sydney,R22,18/8/2017,2017,13.5,22
West Coast,R22,19/8/2017,2017,9.6,22
Western Bulldogs,R22,19/8/2017,2017,11.13,22
Adelaide,R23,27/8/2017,2017,10.11,23
Brisbane Lions,R23,26/8/2017,2017,11.13,23
Carlton,R23,26/8/2017,2017,8.9,23
Collingwood,R23,26/8/2017,2017,14.15,23
Essendon,R23,27/8/2017,2017,16.11,23
Fremantle,R23,27/8/2017,2017,14.8,23
Geelong,R23,26/8/2017,2017,15.13,23
Gold Coast,R23,26/8/2017,2017,3.2,23
Greater Western Sydney,R23,26/8/2017,2017,8.11,23
Hawthorn,R23,25/8/2017,2017,15.9,23
Melbourne,R23,26/8/2017,2017,12.11,23
North Melbourne,R23,26/8/2017,2017,19.16,23
Port Adelaide,R23,26/8/2017,2017,20.15,23
Richmond,R23,27/8/2017,2017,19.8,23
St Kilda,R23,27/8/2017,2017,12.9,23
Sydney,R23,26/8/2017,2017,21.12,23
West Coast,R23,27/8/2017,2017,15.1,23
Western Bulldogs,R23,25/8/2017,2017,13.12,23
Essendon,EF,9/9/2017,2017,8.8,25
Port Adelaide,EF,9/9/2017,2017,8.12,25
Sydney,EF,9/9/2017,2017,19.7,25
West Coast,EF,9/9/2017,2017,9.6,25
Adelaide,QF,7/9/2017,2017,12.12,26
Geelong,QF,8/9/2017,2017,5.1,26
Greater Western Sydney,QF,7/9/2017,2017,6.12,26
Richmond,QF,8/9/2017,2017,13.13,26
Geelong,SF,15/9/2017,2017,15.8,27
Greater Western Sydney,SF,16/9/2017,2017,19.11,27
Sydney,SF,15/9/2017,2017,5.9,27
West Coast,SF,16/9/2017,2017,9.4,27
Adelaide,PF,22/9/2017,2017,21.1,28
Geelong,PF,22/9/2017,2017,10.15,28
Greater Western Sydney,PF,23/9/2017,2017,9.13,28
Richmond,PF,23/9/2017,2017,15.13,28
Adelaide,GF,30/9/2017,2017,8.12,29
Richmond,GF,30/9/2017,2017,16.12,29
Adelaide,R1,23/3/2018,2018,12.15,1
Brisbane Lions,R1,24/3/2018,2018,12.1,1
Carlton,R1,22/3/2018,2018,15.5,1
Collingwood,R1,24/3/2018,2018,9.13,1
Essendon,R1,23/3/2018,2018,14.15,1
Fremantle,R1,24/3/2018,2018,9.6,1
Geelong,R1,25/3/2018,2018,14.13,1
Gold Coast,R1,24/3/2018,2018,7.13,1
Greater Western Sydney,R1,25/3/2018,2018,20.13,1
Hawthorn,R1,24/3/2018,2018,15.11,1
Melbourne,R1,25/3/2018,2018,13.16,1
North Melbourne,R1,24/3/2018,2018,5.9,1
Port Adelaide,R1,24/3/2018,2018,16.14,1
Richmond,R1,22/3/2018,2018,17.19,1
St Kilda,R1,24/3/2018,2018,16.11,1
Sydney,R1,25/3/2018,2018,18.7,1
West Coast,R1,25/3/2018,2018,13.8,1
Western Bulldogs,R1,25/3/2018,2018,7.9,1
Adelaide,R2,29/3/2018,2018,18.1,2
Brisbane Lions,R2,31/3/2018,2018,10.14,2
Carlton,R2,31/3/2018,2018,9.13,2
Collingwood,R2,31/3/2018,2018,12.7,2
Essendon,R2,31/3/2018,2018,14.6,2
Fremantle,R2,31/3/2018,2018,16.1,2
Geelong,R2,2/4/2018,2018,18.9,2
Gold Coast,R2,31/3/2018,2018,15.11,2
Greater Western Sydney,R2,31/3/2018,2018,15.5,2
Hawthorn,R2,2/4/2018,2018,17.16,2
Melbourne,R2,31/3/2018,2018,14.16,2
North Melbourne,R2,30/3/2018,2018,13.17,2
Port Adelaide,R2,1/4/2018,2018,14.1,2
Richmond,R2,29/3/2018,2018,12.1,2
St Kilda,R2,30/3/2018,2018,5.13,2
Sydney,R2,1/4/2018,2018,10.11,2
West Coast,R2,1/4/2018,2018,18.13,2
Western Bulldogs,R2,1/4/2018,2018,9.16,2
Adelaide,R3,7/4/2018,2018,15.14,3
Brisbane Lions,R3,7/4/2018,2018,14.8,3
Carlton,R3,6/4/2018,2018,11.1,3
Collingwood,R3,6/4/2018,2018,16.4,3
Essendon,R3,8/4/2018,2018,12.11,3
Fremantle,R3,7/4/2018,2018,13.18,3
Geelong,R3,8/4/2018,2018,11.14,3
Gold Coast,R3,7/4/2018,2018,10.8,3
Greater Western Sydney,R3,7/4/2018,2018,12.15,3
Hawthorn,R3,8/4/2018,2018,13.11,3
Melbourne,R3,7/4/2018,2018,18.15,3
North Melbourne,R3,7/4/2018,2018,13.8,3
Port Adelaide,R3,7/4/2018,2018,14.13,3
Richmond,R3,8/4/2018,2018,15.12,3
St Kilda,R3,7/4/2018,2018,7.13,3
Sydney,R3,7/4/2018,2018,16.7,3
West Coast,R3,8/4/2018,2018,14.11,3
Western Bulldogs,R3,8/4/2018,2018,14.2,3
Adelaide,R4,13/4/2018,2018,9.4,4
Brisbane Lions,R4,14/4/2018,2018,2.5,4
Carlton,R4,14/4/2018,2018,4.6,4
Collingwood,R4,13/4/2018,2018,16.1,4
Essendon,R4,15/4/2018,2018,16.1,4
Fremantle,R4,14/4/2018,2018,7.9,4
Geelong,R4,15/4/2018,2018,15.13,4
Gold Coast,R4,14/4/2018,2018,9.5,4
Greater Western Sydney,R4,14/4/2018,2018,11.16,4
Hawthorn,R4,15/4/2018,2018,18.7,4
Melbourne,R4,15/4/2018,2018,6.12,4
North Melbourne,R4,14/4/2018,2018,18.8,4
Port Adelaide,R4,15/4/2018,2018,12.12,4
Richmond,R4,14/4/2018,2018,16.14,4
St Kilda,R4,15/4/2018,2018,7.14,4
Sydney,R4,14/4/2018,2018,13.8,4
West Coast,R4,14/4/2018,2018,21.13,4
Western Bulldogs,R4,14/4/2018,2018,11.13,4
Adelaide,R5,20/4/2018,2018,12.13,5
Brisbane Lions,R5,22/4/2018,2018,10.11,5
Carlton,R5,21/4/2018,2018,10.9,5
Collingwood,R5,25/4/2018,2018,14.17,5
Essendon,R5,25/4/2018,2018,7.1,5
Fremantle,R5,21/4/2018,2018,16.12,5
Geelong,R5,21/4/2018,2018,12.12,5
Gold Coast,R5,22/4/2018,2018,11.1,5
Greater Western Sydney,R5,21/4/2018,2018,9.19,5
Hawthorn,R5,22/4/2018,2018,11.4,5
Melbourne,R5,24/4/2018,2018,8.8,5
North Melbourne,R5,22/4/2018,2018,14.14,5
Port Adelaide,R5,21/4/2018,2018,7.8,5
Richmond,R5,24/4/2018,2018,15.12,5
St Kilda,R5,21/4/2018,2018,10.13,5
Sydney,R5,20/4/2018,2018,10.15,5
West Coast,R5,21/4/2018,2018,10.19,5
Western Bulldogs,R5,21/4/2018,2018,8.6,5
Adelaide,R6,28/4/2018,2018,16.14,6
Brisbane Lions,R6,28/4/2018,2018,5.13,6
Carlton,R6,27/4/2018,2018,8.11,6
Collingwood,R6,29/4/2018,2018,10.1,6
Essendon,R6,29/4/2018,2018,10.12,6
Fremantle,R6,29/4/2018,2018,12.9,6
Geelong,R6,28/4/2018,2018,10.9,6
Gold Coast,R6,28/4/2018,2018,9.8,6
Greater Western Sydney,R6,28/4/2018,2018,10.17,6
Hawthorn,R6,28/4/2018,2018,13.11,6
Melbourne,R6,29/4/2018,2018,16.12,6
North Melbourne,R6,28/4/2018,2018,10.9,6
Port Adelaide,R6,28/4/2018,2018,15.12,6
Richmond,R6,29/4/2018,2018,16.17,6
St Kilda,R6,28/4/2018,2018,7.12,6
Sydney,R6,28/4/2018,2018,12.14,6
West Coast,R6,29/4/2018,2018,13.11,6
Western Bulldogs,R6,27/4/2018,2018,11.14,6
Adelaide,R7,5/5/2018,2018,19.11,7
Brisbane Lions,R7,6/5/2018,2018,18.6,7
Carlton,R7,5/5/2018,2018,10.1,7
Collingwood,R7,6/5/2018,2018,19.7,7
Essendon,R7,5/5/2018,2018,10.7,7
Fremantle,R7,6/5/2018,2018,4.9,7
Geelong,R7,4/5/2018,2018,14.9,7
Gold Coast,R7,5/5/2018,2018,10.12,7
Greater Western Sydney,R7,4/5/2018,2018,4.8,7
Hawthorn,R7,5/5/2018,2018,13.12,7
Melbourne,R7,6/5/2018,2018,16.1,7
North Melbourne,R7,5/5/2018,2018,9.14,7
Port Adelaide,R7,5/5/2018,2018,9.6,7
Richmond,R7,6/5/2018,2018,15.2,7
St Kilda,R7,6/5/2018,2018,9.13,7
Sydney,R7,5/5/2018,2018,9.12,7
West Coast,R7,5/5/2018,2018,16.6,7
Western Bulldogs,R7,5/5/2018,2018,11.15,7
Adelaide,R8,12/5/2018,2018,14.6,8
Brisbane Lions,R8,12/5/2018,2018,14.9,8
Carlton,R8,12/5/2018,2018,14.7,8
Collingwood,R8,13/5/2018,2018,5.15,8
Essendon,R8,12/5/2018,2018,10.18,8
Fremantle,R8,12/5/2018,2018,13.11,8
Geelong,R8,13/5/2018,2018,9.12,8
Gold Coast,R8,12/5/2018,2018,11.11,8
Greater Western Sydney,R8,12/5/2018,2018,8.13,8
Hawthorn,R8,11/5/2018,2018,10.11,8
Melbourne,R8,12/5/2018,2018,21.2,8
North Melbourne,R8,13/5/2018,2018,11.6,8
Port Adelaide,R8,12/5/2018,2018,14.11,8
Richmond,R8,13/5/2018,2018,12.1,8
St Kilda,R8,12/5/2018,2018,8.11,8
Sydney,R8,11/5/2018,2018,12.7,8
West Coast,R8,12/5/2018,2018,12.14,8
Western Bulldogs,R8,12/5/2018,2018,16.11,8
Adelaide,R9,18/5/2018,2018,9.9,9
Brisbane Lions,R9,20/5/2018,2018,20.9,9
Carlton,R9,20/5/2018,2018,7.8,9
Collingwood,R9,19/5/2018,2018,15.1,9
Essendon,R9,19/5/2018,2018,12.12,9
Fremantle,R9,19/5/2018,2018,7.1,9
Geelong,R9,19/5/2018,2018,7.8,9
Gold Coast,R9,19/5/2018,2018,6.6,9
Greater Western Sydney,R9,19/5/2018,2018,9.15,9
Hawthorn,R9,20/5/2018,2018,11.7,9
Melbourne,R9,20/5/2018,2018,25.9,9
North Melbourne,R9,19/5/2018,2018,17.1,9
Port Adelaide,R9,19/5/2018,2018,11.16,9
Richmond,R9,20/5/2018,2018,12.11,9
St Kilda,R9,19/5/2018,2018,10.12,9
Sydney,R9,19/5/2018,2018,17.9,9
West Coast,R9,20/5/2018,2018,20.1,9
Western Bulldogs,R9,18/5/2018,2018,2.14,9
Adelaide,R10,27/5/2018,2018,8.7,10
Brisbane Lions,R10,26/5/2018,2018,6.13,10
Carlton,R10,26/5/2018,2018,5.15,10
Collingwood,R10,25/5/2018,2018,13.12,10
Essendon,R10,26/5/2018,2018,14.11,10
Fremantle,R10,27/5/2018,2018,8.1,10
Geelong,R10,26/5/2018,2018,11.7,10
Greater Western Sydney,R10,26/5/2018,2018,8.12,10
Hawthorn,R10,27/5/2018,2018,9.6,10
Melbourne,R10,27/5/2018,2018,23.8,10
North Melbourne,R10,27/5/2018,2018,12.14,10
Richmond,R10,26/5/2018,2018,15.15,10
St Kilda,R10,26/5/2018,2018,12.5,10
Sydney,R10,26/5/2018,2018,10.7,10
West Coast,R10,27/5/2018,2018,11.9,10
Western Bulldogs,R10,25/5/2018,2018,8.7,10
Adelaide,R11,3/6/2018,2018,11.15,11
Brisbane Lions,R11,3/6/2018,2018,12.15,11
Carlton,R11,1/6/2018,2018,9.7,11
Collingwood,R11,3/6/2018,2018,21.12,11
Essendon,R11,2/6/2018,2018,6.7,11
Fremantle,R11,3/6/2018,2018,12.5,11
Geelong,R11,2/6/2018,2018,17.19,11
Gold Coast,R11,2/6/2018,2018,4.12,11
Greater Western Sydney,R11,3/6/2018,2018,14.13,11
Hawthorn,R11,2/6/2018,2018,9.1,11
Melbourne,R11,2/6/2018,2018,15.1,11
North Melbourne,R11,3/6/2018,2018,21.15,11
Port Adelaide,R11,2/6/2018,2018,9.7,11
Richmond,R11,2/6/2018,2018,17.12,11
St Kilda,R11,2/6/2018,2018,14.4,11
Sydney,R11,1/6/2018,2018,13.13,11
West Coast,R11,2/6/2018,2018,16.5,11
Western Bulldogs,R11,2/6/2018,2018,7.9,11
Adelaide,R12,10/6/2018,2018,9.14,12
Brisbane Lions,R12,10/6/2018,2018,8.14,12
Collingwood,R12,11/6/2018,2018,20.13,12
Essendon,R12,10/6/2018,2018,12.12,12
Fremantle,R12,10/6/2018,2018,10.11,12
Geelong,R12,9/6/2018,2018,14.12,12
Gold Coast,R12,9/6/2018,2018,4.2,12
Greater Western Sydney,R12,9/6/2018,2018,20.14,12
Melbourne,R12,11/6/2018,2018,14.7,12
North Melbourne,R12,9/6/2018,2018,8.11,12
Port Adelaide,R12,8/6/2018,2018,10.12,12
Richmond,R12,8/6/2018,2018,8.1,12
St Kilda,R12,9/6/2018,2018,7.13,12
Sydney,R12,9/6/2018,2018,19.12,12
Adelaide,R13,16/6/2018,2018,4.8,13
Carlton,R13,16/6/2018,2018,6.1,13
Fremantle,R13,16/6/2018,2018,15.13,13
Geelong,R13,17/6/2018,2018,9.11,13
Gold Coast,R13,16/6/2018,2018,11.12,13
Hawthorn,R13,16/6/2018,2018,12.16,13
Port Adelaide,R13,14/6/2018,2018,20.12,13
Richmond,R13,17/6/2018,2018,12.11,13
St Kilda,R13,16/6/2018,2018,11.14,13
Sydney,R13,15/6/2018,2018,10.12,13
West Coast,R13,15/6/2018,2018,7.15,13
Western Bulldogs,R13,14/6/2018,2018,11.9,13
Brisbane Lions,R14,23/6/2018,2018,12.1,14
Carlton,R14,24/6/2018,2018,9.5,14
Collingwood,R14,24/6/2018,2018,11.13,14
Essendon,R14,21/6/2018,2018,12.8,14
Gold Coast,R14,23/6/2018,2018,5.13,14
Greater Western Sydney,R14,23/6/2018,2018,16.13,14
Hawthorn,R14,23/6/2018,2018,13.18,14
Melbourne,R14,22/6/2018,2018,9.11,14
North Melbourne,R14,23/6/2018,2018,12.5,14
Port Adelaide,R14,22/6/2018,2018,11.9,14
West Coast,R14,21/6/2018,2018,6.16,14
Western Bulldogs,R14,23/6/2018,2018,11.9,14
Adelaide,R15,30/6/2018,2018,12.16,15
Brisbane Lions,R15,1/7/2018,2018,18.11,15
Carlton,R15,30/6/2018,2018,10.9,15
Collingwood,R15,30/6/2018,2018,14.15,15
Essendon,R15,1/7/2018,2018,19.11,15
Fremantle,R15,1/7/2018,2018,9.1,15
Geelong,R15,29/6/2018,2018,15.11,15
Gold Coast,R15,30/6/2018,2018,8.12,15
Greater Western Sydney,R15,30/6/2018,2018,13.17,15
Hawthorn,R15,30/6/2018,2018,13.6,15
Melbourne,R15,1/7/2018,2018,18.9,15
North Melbourne,R15,1/7/2018,2018,16.12,15
Port Adelaide,R15,30/6/2018,2018,13.12,15
Richmond,R15,28/6/2018,2018,14.9,15
St Kilda,R15,1/7/2018,2018,18.11,15
Sydney,R15,28/6/2018,2018,11.1,15
West Coast,R15,30/6/2018,2018,12.6,15
Western Bulldogs,R15,29/6/2018,2018,16.7,15
Adelaide,R16,6/7/2018,2018,8.8,16
Brisbane Lions,R16,7/7/2018,2018,18.12,16
Carlton,R16,7/7/2018,2018,7.13,16
Collingwood,R16,8/7/2018,2018,12.6,16
Essendon,R16,8/7/2018,2018,9.8,16
Fremantle,R16,7/7/2018,2018,7.6,16
Geelong,R16,5/7/2018,2018,8.23,16
Gold Coast,R16,8/7/2018,2018,8.1,16
Greater Western Sydney,R16,8/7/2018,2018,10.15,16
Hawthorn,R16,7/7/2018,2018,19.8,16
Melbourne,R16,7/7/2018,2018,13.24,16
North Melbourne,R16,8/7/2018,2018,14.11,16
Port Adelaide,R16,7/7/2018,2018,12.14,16
Richmond,R16,6/7/2018,2018,15.13,16
St Kilda,R16,7/7/2018,2018,7.8,16
Sydney,R16,5/7/2018,2018,9.5,16
West Coast,R16,8/7/2018,2018,13.8,16
Western Bulldogs,R16,7/7/2018,2018,9.5,16
Adelaide,R17,12/7/2018,2018,16.16,17
Brisbane Lions,R17,14/7/2018,2018,15.8,17
Carlton,R17,13/7/2018,2018,7.1,17
Collingwood,R17,15/7/2018,2018,9.13,17
Essendon,R17,14/7/2018,2018,13.17,17
Fremantle,R17,15/7/2018,2018,8.11,17
Geelong,R17,12/7/2018,2018,14.13,17
Gold Coast,R17,14/7/2018,2018,6.15,17
Greater Western Sydney,R17,14/7/2018,2018,11.13,17
Hawthorn,R17,14/7/2018,2018,9.11,17
Melbourne,R17,14/7/2018,2018,18.11,17
North Melbourne,R17,15/7/2018,2018,15.8,17
Port Adelaide,R17,15/7/2018,2018,7.8,17
Richmond,R17,14/7/2018,2018,10.17,17
St Kilda,R17,13/7/2018,2018,16.2,17
Sydney,R17,15/7/2018,2018,16.8,17
West Coast,R17,15/7/2018,2018,15.12,17
Western Bulldogs,R17,14/7/2018,2018,10.9,17
Adelaide,R18,21/7/2018,2018,13.15,18
Brisbane Lions,R18,21/7/2018,2018,13.1,18
Carlton,R18,22/7/2018,2018,7.1,18
Collingwood,R18,21/7/2018,2018,20.1,18
Essendon,R18,21/7/2018,2018,13.21,18
Fremantle,R18,21/7/2018,2018,11.4,18
Geelong,R18,21/7/2018,2018,16.4,18
Gold Coast,R18,21/7/2018,2018,12.16,18
Greater Western Sydney,R18,22/7/2018,2018,11.14,18
Hawthorn,R18,22/7/2018,2018,18.16,18
Melbourne,R18,21/7/2018,2018,14.14,18
North Melbourne,R18,21/7/2018,2018,9.1,18
Port Adelaide,R18,22/7/2018,2018,8.1,18
Richmond,R18,20/7/2018,2018,16.15,18
St Kilda,R18,20/7/2018,2018,8.9,18
Sydney,R18,21/7/2018,2018,8.16,18
West Coast,R18,22/7/2018,2018,14.16,18
Western Bulldogs,R18,22/7/2018,2018,6.1,18
Adelaide,R19,28/7/2018,2018,10.17,19
Brisbane Lions,R19,28/7/2018,2018,11.12,19
Carlton,R19,28/7/2018,2018,12.7,19
Collingwood,R19,28/7/2018,2018,12.5,19
Essendon,R19,27/7/2018,2018,15.19,19
Fremantle,R19,29/7/2018,2018,7.11,19
Geelong,R19,28/7/2018,2018,18.12,19
Gold Coast,R19,28/7/2018,2018,5.14,19
Greater Western Sydney,R19,28/7/2018,2018,13.8,19
Hawthorn,R19,29/7/2018,2018,17.1,19
Melbourne,R19,28/7/2018,2018,13.12,19
North Melbourne,R19,29/7/2018,2018,12.9,19
Port Adelaide,R19,29/7/2018,2018,11.12,19
Richmond,R19,28/7/2018,2018,16.9,19
St Kilda,R19,28/7/2018,2018,8.13,19
Sydney,R19,27/7/2018,2018,10.6,19
West Coast,R19,29/7/2018,2018,6.5,19
Western Bulldogs,R19,29/7/2018,2018,5.4,19
Adelaide,R20,4/8/2018,2018,13.18,20
Brisbane Lions,R20,4/8/2018,2018,16.8,20
Carlton,R20,5/8/2018,2018,7.4,20
Collingwood,R20,4/8/2018,2018,10.11,20
Essendon,R20,4/8/2018,2018,16.7,20
Fremantle,R20,5/8/2018,2018,13.6,20
Geelong,R20,3/8/2018,2018,12.1,20
Gold Coast,R20,5/8/2018,2018,7.5,20
Greater Western Sydney,R20,5/8/2018,2018,23.13,20
Hawthorn,R20,4/8/2018,2018,16.11,20
Melbourne,R20,5/8/2018,2018,21.17,20
North Melbourne,R20,4/8/2018,2018,16.11,20
Port Adelaide,R20,4/8/2018,2018,14.9,20
Richmond,R20,3/8/2018,2018,12.13,20
St Kilda,R20,4/8/2018,2018,9.14,20
Sydney,R20,4/8/2018,2018,11.7,20
West Coast,R20,5/8/2018,2018,21.16,20
Western Bulldogs,R20,4/8/2018,2018,15.13,20
Adelaide,R21,11/8/2018,2018,13.14,21
Brisbane Lions,R21,11/8/2018,2018,11.7,21
Carlton,R21,12/8/2018,2018,10.12,21
Collingwood,R21,11/8/2018,2018,14.2,21
Essendon,R21,10/8/2018,2018,18.14,21
Fremantle,R21,12/8/2018,2018,15.11,21
Geelong,R21,11/8/2018,2018,8.12,21
Gold Coast,R21,11/8/2018,2018,7.9,21
Greater Western Sydney,R21,11/8/2018,2018,15.16,21
Hawthorn,R21,11/8/2018,2018,10.11,21
Melbourne,R21,12/8/2018,2018,10.18,21
North Melbourne,R21,12/8/2018,2018,12.13,21
Port Adelaide,R21,11/8/2018,2018,9.4,21
Richmond,R21,11/8/2018,2018,19.11,21
St Kilda,R21,10/8/2018,2018,11.13,21
Sydney,R21,12/8/2018,2018,13.9,21
West Coast,R21,11/8/2018,2018,9.8,21
Western Bulldogs,R21,12/8/2018,2018,13.14,21
Adelaide,R22,19/8/2018,2018,12.14,22
Brisbane Lions,R22,18/8/2018,2018,10.18,22
Carlton,R22,19/8/2018,2018,7.7,22
Collingwood,R22,18/8/2018,2018,17.13,22
Essendon,R22,17/8/2018,2018,11.7,22
Fremantle,R22,18/8/2018,2018,3.7,22
Geelong,R22,18/8/2018,2018,24.14,22
Gold Coast,R22,18/8/2018,2018,11.8,22
Greater Western Sydney,R22,18/8/2018,2018,8.12,22
Hawthorn,R22,18/8/2018,2018,12.8,22
Melbourne,R22,19/8/2018,2018,16.12,22
North Melbourne,R22,19/8/2018,2018,11.11,22
Port Adelaide,R22,18/8/2018,2018,10.4,22
Richmond,R22,17/8/2018,2018,12.9,22
St Kilda,R22,18/8/2018,2018,11.1,22
Sydney,R22,18/8/2018,2018,11.14,22
West Coast,R22,19/8/2018,2018,14.7,22
Western Bulldogs,R22,19/8/2018,2018,10.6,22
Adelaide,R23,25/8/2018,2018,26.9,23
Brisbane Lions,R23,26/8/2018,2018,11.6,23
Carlton,R23,25/8/2018,2018,8.13,23
Collingwood,R23,25/8/2018,2018,11.1,23
Essendon,R23,24/8/2018,2018,17.9,23
Fremantle,R23,25/8/2018,2018,9.13,23
Geelong,R23,25/8/2018,2018,22.1,23
Gold Coast,R23,25/8/2018,2018,5.1,23
Greater Western Sydney,R23,26/8/2018,2018,8.9,23
Hawthorn,R23,25/8/2018,2018,12.11,23
Melbourne,R23,26/8/2018,2018,15.12,23
North Melbourne,R23,26/8/2018,2018,17.15,23
Port Adelaide,R23,24/8/2018,2018,13.11,23
Richmond,R23,25/8/2018,2018,15.8,23
St Kilda,R23,26/8/2018,2018,14.1,23
Sydney,R23,25/8/2018,2018,10.14,23
West Coast,R23,26/8/2018,2018,14.14,23
Western Bulldogs,R23,25/8/2018,2018,14.11,23
Geelong,EF,7/9/2018,2018,6.1,25
Greater Western Sydney,EF,8/9/2018,2018,10.19,25
Melbourne,EF,7/9/2018,2018,10.15,25
Sydney,EF,8/9/2018,2018,4.6,25
Collingwood,QF,8/9/2018,2018,10.1,26
Hawthorn,QF,6/9/2018,2018,9.1,26
Richmond,QF,6/9/2018,2018,13.17,26
West Coast,QF,8/9/2018,2018,12.14,26
Collingwood,SF,15/9/2018,2018,9.15,27
Greater Western Sydney,SF,15/9/2018,2018,9.5,27
Hawthorn,SF,14/9/2018,2018,10.11,27
Melbourne,SF,14/9/2018,2018,16.8,27
Collingwood,PF,21/9/2018,2018,15.7,28
Melbourne,PF,22/9/2018,2018,7.13,28
Richmond,PF,21/9/2018,2018,8.1,28
West Coast,PF,22/9/2018,2018,18.13,28
Collingwood,GF,29/9/2018,2018,11.8,29
West Coast,GF,29/9/2018,2018,11.13,29
Adelaide,R1,23/3/2019,2019,7.13,1
Brisbane Lions,R1,23/3/2019,2019,15.12,1
Carlton,R1,21/3/2019,2019,9.1,1
Collingwood,R1,22/3/2019,2019,9.11,1
Essendon,R1,24/3/2019,2019,5.1,1
Fremantle,R1,24/3/2019,2019,21.15,1
Geelong,R1,22/3/2019,2019,10.12,1
Gold Coast,R1,24/3/2019,2019,13.6,1
Greater Western Sydney,R1,24/3/2019,2019,16.16,1
Hawthorn,R1,23/3/2019,2019,12.15,1
Melbourne,R1,23/3/2019,2019,9.7,1
North Melbourne,R1,24/3/2019,2019,9.5,1
Port Adelaide,R1,23/3/2019,2019,12.15,1
Richmond,R1,21/3/2019,2019,14.13,1
St Kilda,R1,24/3/2019,2019,13.7,1
Sydney,R1,23/3/2019,2019,9.11,1
West Coast,R1,23/3/2019,2019,8.1,1
Western Bulldogs,R1,23/3/2019,2019,11.16,1
Adelaide,R2,29/3/2019,2019,12.16,2
Brisbane Lions,R2,31/3/2019,2019,16.11,2
Carlton,R2,30/3/2019,2019,11.6,2
Collingwood,R2,28/3/2019,2019,17.8,2
Essendon,R2,30/3/2019,2019,9.11,2
Fremantle,R2,31/3/2019,2019,8.1,2
Geelong,R2,30/3/2019,2019,20.6,2
Gold Coast,R2,31/3/2019,2019,7.19,2
Greater Western Sydney,R2,30/3/2019,2019,7.1,2
Hawthorn,R2,31/3/2019,2019,13.9,2
Melbourne,R2,30/3/2019,2019,6.1,2
North Melbourne,R2,31/3/2019,2019,13.9,2
Port Adelaide,R2,30/3/2019,2019,13.1,2
Richmond,R2,28/3/2019,2019,10.6,2
St Kilda,R2,30/3/2019,2019,10.16,2
Sydney,R2,29/3/2019,2019,8.14,2
West Coast,R2,30/3/2019,2019,16.8,2
Western Bulldogs,R2,31/3/2019,2019,16.1,2
Adelaide,R3,4/4/2019,2019,10.15,3
Brisbane Lions,R3,6/4/2019,2019,16.11,3
Carlton,R3,6/4/2019,2019,10.14,3
Collingwood,R3,6/4/2019,2019,11.1,3
Essendon,R3,5/4/2019,2019,20.1,3
Fremantle,R3,7/4/2019,2019,11.5,3
Geelong,R3,4/4/2019,2019,14.15,3
Gold Coast,R3,7/4/2019,2019,10.13,3
Greater Western Sydney,R3,6/4/2019,2019,19.11,3
Hawthorn,R3,7/4/2019,2019,13.9,3
Melbourne,R3,5/4/2019,2019,18.4,3
North Melbourne,R3,7/4/2019,2019,10.11,3
Port Adelaide,R3,6/4/2019,2019,13.12,3
Richmond,R3,6/4/2019,2019,10.16,3
St Kilda,R3,7/4/2019,2019,9.12,3
Sydney,R3,6/4/2019,2019,14.9,3
West Coast,R3,6/4/2019,2019,15.8,3
Western Bulldogs,R3,7/4/2019,2019,9.14,3
Adelaide,R4,13/4/2019,2019,8.11,4
Brisbane Lions,R4,13/4/2019,2019,9.11,4
Carlton,R4,14/4/2019,2019,8.9,4
Collingwood,R4,12/4/2019,2019,11.12,4
Essendon,R4,13/4/2019,2019,17.1,4
Fremantle,R4,13/4/2019,2019,7.14,4
Geelong,R4,13/4/2019,2019,11.9,4
Gold Coast,R4,14/4/2019,2019,8.11,4
Greater Western Sydney,R4,13/4/2019,2019,11.13,4
Hawthorn,R4,14/4/2019,2019,10.9,4
Melbourne,R4,11/4/2019,2019,15.1,4
North Melbourne,R4,13/4/2019,2019,9.17,4
Port Adelaide,R4,13/4/2019,2019,14.8,4
Richmond,R4,13/4/2019,2019,15.9,4
St Kilda,R4,14/4/2019,2019,10.14,4
Sydney,R4,11/4/2019,2019,11.12,4
West Coast,R4,13/4/2019,2019,10.9,4
Western Bulldogs,R4,12/4/2019,2019,9.1,4
Adelaide,R5,21/4/2019,2019,18.11,5
Brisbane Lions,R5,18/4/2019,2019,8.13,5
Carlton,R5,21/4/2019,2019,15.11,5
Collingwood,R5,18/4/2019,2019,18.15,5
Essendon,R5,19/4/2019,2019,17.14,5
Fremantle,R5,20/4/2019,2019,16.1,5
Geelong,R5,22/4/2019,2019,17.11,5
Gold Coast,R5,21/4/2019,2019,6.1,5
Greater Western Sydney,R5,20/4/2019,2019,11.16,5
Hawthorn,R5,22/4/2019,2019,13.12,5
Melbourne,R5,20/4/2019,2019,7.13,5
North Melbourne,R5,19/4/2019,2019,7.16,5
Port Adelaide,R5,19/4/2019,2019,13.17,5
Richmond,R5,20/4/2019,2019,13.11,5
St Kilda,R5,20/4/2019,2019,15.5,5
Sydney,R5,20/4/2019,2019,10.7,5
West Coast,R5,19/4/2019,2019,8.5,5
Western Bulldogs,R5,21/4/2019,2019,7.15,5
Adelaide,R6,27/4/2019,2019,15.7,6
Brisbane Lions,R6,27/4/2019,2019,16.15,6
